"","Cell","PredictedID"
"316_2","316_2","Epithelial"
"318_2","318_2","T cells"
"319_2","319_2","plasma cells"
"320_2","320_2","Epithelial"
"321_2","321_2","Epithelial"
"322_2","322_2","T cells"
"323_2","323_2","Epithelial"
"324_2","324_2","CAFs"
"325_2","325_2","CAFs"
"326_2","326_2","Epithelial"
"327_2","327_2","T cells"
"328_2","328_2","Epithelial"
"329_2","329_2","B cells"
"330_2","330_2","Epithelial"
"331_2","331_2","Epithelial"
"332_2","332_2","Myofib"
"333_2","333_2","T cells"
"334_2","334_2","Epithelial"
"335_2","335_2","Myofib"
"336_2","336_2","Epithelial"
"337_2","337_2","Epithelial"
"338_2","338_2","T cells"
"339_2","339_2","TAMs"
"340_2","340_2","Epithelial"
"341_2","341_2","Epithelial"
"342_2","342_2","Epithelial"
"343_2","343_2","Epithelial"
"344_2","344_2","Epithelial"
"345_2","345_2","Epithelial"
"346_2","346_2","Epithelial"
"347_2","347_2","Epithelial"
"348_2","348_2","TAMs"
"349_2","349_2","Epithelial"
"350_2","350_2","Epithelial"
"351_2","351_2","Epithelial"
"352_2","352_2","CAFs"
"353_2","353_2","T cells"
"354_2","354_2","T cells"
"355_2","355_2","T cells"
"357_2","357_2","T cells"
"358_2","358_2","Epithelial"
"359_2","359_2","Epithelial"
"360_2","360_2","B cells"
"361_2","361_2","Epithelial"
"362_2","362_2","Epithelial"
"363_2","363_2","Myofib"
"364_2","364_2","Epithelial"
"365_2","365_2","Epithelial"
"366_2","366_2","plasma cells"
"367_2","367_2","Epithelial"
"368_2","368_2","Epithelial"
"369_2","369_2","Epithelial"
"370_2","370_2","Epithelial"
"371_2","371_2","Epithelial"
"372_2","372_2","Epithelial"
"373_2","373_2","Epithelial"
"374_2","374_2","Epithelial"
"375_2","375_2","Epithelial"
"376_2","376_2","CAFs"
"377_2","377_2","Epithelial"
"378_2","378_2","Epithelial"
"379_2","379_2","Epithelial"
"380_2","380_2","Epithelial"
"381_2","381_2","Epithelial"
"382_2","382_2","Epithelial"
"383_2","383_2","Epithelial"
"384_2","384_2","Epithelial"
"385_2","385_2","Epithelial"
"386_2","386_2","Epithelial"
"387_2","387_2","mature DC"
"388_2","388_2","Epithelial"
"389_2","389_2","TAMs"
"390_2","390_2","Epithelial"
"391_2","391_2","T cells"
"392_2","392_2","Epithelial"
"393_2","393_2","Epithelial"
"394_2","394_2","T cells"
"395_2","395_2","Epithelial"
"396_2","396_2","Epithelial"
"397_2","397_2","Epithelial"
